"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"R5,R7";"R_0805_2012Metric";2;"100k";;;
2;"C22,C26,C24,C25,C1";"C_0805_2012Metric";5;"1u";;;
3;"J8";"BNC_TEConnectivity_1478035_Horizontal";1;"RFID_COAX";;;
4;"Y2";"OSC_ECS-3225SMV-080-GP-TR";1;"ECS-3225SMV-080-GP-TR";;;
5;"PS1";"P78032000RS";1;"P7805-2000R-S";;;
6;"C32";"CAPC7563X400N";1;"22u/50V";;;
7;"J15";"TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal";1;"FINAL_CARRERA_DOWN";;;
8;"C29";"C_0402_1005Metric";1;"1u";;;
9;"U5,U4";"MAX22201ATC_";2;"MAX22201ATC+";;;
10;"D2";"TO-220F-2_Horizontal_TabDown";1;"BYV10MX-600PQ";;;
11;"J5";"TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal";1;"OUT_DOOR";;;
12;"J14";"TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal";1;"FINAL_CARRERA_UP";;;
13;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"CAN";;;
14;"D1";"SODFL1608X65N";1;"DDZ9699T-7 ";;;
15;"Y1";"ASZKDV_ABR";1;"ASZKDV-32.768KHZ-L-T3";;;
16;"C31";"CP_EIA-3216-18_Kemet-A";1;"1u";;;
17;"J10";"TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal";1;"DOOR_LCK";;;
18;"C6,C4,C23,C5,C3,C27";"CP_Radial_D5.0mm_P2.00mm";6;"47u";;;
19;"R6";"R_0805_2012Metric";1;"33k";;;
20;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"ICSP";;;
21;"J2";"TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal";1;"OUT_WIN";;;
22;"C33";"C_1206_3216Metric";1;"22u/10V";;;
23;"R4";"R_0805_2012Metric";1;"1k";;;
24;"U2";"PIC32MK0256MCJ048-I-Y8X_MCH";1;"PIC32MK0256MCJ048-I/Y8X";;;
25;"C12,C10,C9,C11,C7,C8";"C_0402_1005Metric";6;"0.1u";;;
26;"J6";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"USART";;;
27;"SW1";"SW_CW_GPTS203211B";1;"DOOR_LCK";;;
28;"R_LDO1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
29;"C14,C28";"C_0402_1005Metric";2;"100n";;;
30;"SW3";"SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile";1;"WIN_SW";;;
31;"U1";"LT1528CT#PBF";1;"LT1528CT-PBF";;;
32;"C2";"C_0805_2012Metric";1;"100n";;;
33;"U6";"DLP-RFID2";1;"~";;;
34;"C30";"C_1206_3216Metric";1;"10n";;;
35;"R8";"R_0805_2012Metric";1;"120";;;
36;"J12";"TerminalBlock_MetzConnect_Type011_RT05504HBWC_1x04_P5.00mm_Horizontal";1;"WIN_SW";;;
37;"J1";"TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal";1;"PowerIN";;;
38;"R3";"R_0805_2012Metric";1;"10k";;;
39;"U3";"TCAN3413DR";1;"TCAN334D";;;
40;"C18,C21,C17,C19,C20";"C_0805_2012Metric";5;"4.7u";;;
41;"R1";"R_0805_2012Metric";1;"0";;;
